Date	Confirmed cases	Deaths
28.01.2021	14883	1385
29.01.2021	12831	403
30.01.2021	17518	819
31.01.2021	748	58
1.02.2021	6668	896
2.02.2021	7690	933
3.02.2021	12487	784
4.02.2021	13032	858
5.02.2021	10835	690
6.02.2021	8632	227
7.02.2021	6670	157
8.02.2021	4650	483
9.02.2021	5728	815
10.02.2021	9246	666
11.02.2021	9928	552
12.02.2021	9197	547
13.02.2021	6484	219
14.02.2021	4838	117
15.02.2021	5132	181
16.02.2021	5890	541
17.02.2021	9598	903
18.02.2021	9845	513
19.02.2021	9050	496
20.02.2021	7162	142
21.02.2021	6094	63
22.02.2021	4984	417
23.02.2021	5764	422
24.02.2021	10774	385
25.02.2021	11032	173
26.02.2021	9437	596
27.02.2021	7671	153
28.02.2021	6118	60
1.03.2021	5274	362
2.03.2021	6492	412
3.03.2021	10852	359
4.03.2021	11393	269
5.03.2021	9581	298
6.03.2021	8264	99
7.03.2021	6504	33
8.03.2021	5129	252
9.03.2021	6834	298
10.03.2021	21163	324
11.03.2021	4745	262
12.03.2021	12770	228
13.03.2021	10568	21
14.03.2021	8978	94
15.03.2021	6543	238
16.03.2021	17679	251
17.03.2021	7705	91
18.03.2021	28489	359
19.03.2021	15476	206
20.03.2021	14499	98
21.03.2021	768	50
22.03.2021	8261	253
23.03.2021	20969	246
24.03.2021	23757	229
25.03.2021	21620	185
26.03.2021	20689	159
27.03.2021	17628	87
28.03.2021	1727	44
29.03.2021	10297	180
30.03.2021	23681	250
31.03.2021	25014	200
1.04.2021	22679	234
2.04.2021	16033	117
3.04.2021	3673	70
4.04.2021	10300	50
5.04.2021	5980	76
6.04.2021	7593	109
7.04.2021	30377	510
8.04.2021	26510	294
9.04.2021	23935	246
10.04.2021	18728	107
11.04.2021	2706	98
12.04.2021	12446	296
13.04.2021	29421	341
14.04.2021	31117	290
15.04.2021	25110	245
16.04.2021	23856	222
17.04.2021	20197	77
18.04.2021	1217	81
19.04.2021	11615	301
20.04.2021	31397	327
21.04.2021	24354	258
22.04.2021	31721	265
23.04.2021	22262	289
